PLEASE DO NOT DELETE THIS COLUMN OR ELSE THE DATA WILL NOT IMPORT CORRECTLY,Note,UPC,SKU,FrameName,Manufacturer,Brand,BrandID,Collection,ProductGroupType,FramecolorColorGroup,FrameColor,FrameColorCode,LensColor,LensColorCode,EyeSize,A,B,ED,EDAngle,TempleLength,BridgeSize,DBL,STS,Circumference,GenderType,AgeType,MaterialType,MaterialDescription,PreciousMetalType,PreciousMetalDescription,CountryofOrigin,TempleType,TempleTypeDescription,BridgeType,BridgeTypeDescription,LensType,LensTypeDescription,TrimType,TrimDescription,ClipSunglassType,ClipSunglassDescription,SideshieldsType,SideshieldsDescription,EdgeType,CaseType,CaseTypeDescription,HingeType,RimType,FrameShape,ShapeDescription,MonthIntroduced,YearIntroduced,Features,FramesPDType,LensVisionType,LensVisionDescription,RXType,RXDescription,WarrantyType,WarrantyDescription,Radii
e1b1236a-8396-46df-adb5-bf80039db55b,,715583246287,,SK 1006,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,Satin Black,SBLK,,,46,45.60,22.80,46.50,12.6,120,15,15,112,117.4,Female,Child,Metal,Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,grooved,Hard case included.,Brand case,Spring Hinge,Semi-Rimless,Cat Eye,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
09a1a1d4-6be8-4094-9ffe-625a668d2ccb,,715583246539,,SK 1007,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Burgundy,Burgundy,BU,,,44,44.50,24.80,44.70,9.9,125,16,16,108,115.4,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
1cbcba81-347d-49b9-99cd-65494fdff3a3,,715583246492,,SK 1007,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,Blue,BL,,,44,44.50,24.80,44.70,9.9,125,16,16,108,115.4,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
01122ee1-453f-4522-b9ac-c3d1ff6c85ab,,715583246508,,SK 1007,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,Black,BLK,,,44,44.50,24.80,44.70,9.9,125,16,16,108,115.4,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
4a0d8808-f406-4b8f-b1b2-d767ef5aeff8,,715583246546,,SK 1007,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Purple,Violet,VI,,,44,44.50,24.80,44.70,9.9,125,16,16,108,115.4,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
bcbd8788-06f7-4ac2-98c5-dd6523577936,,715583246522,,SK 1007,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,Brown,BRN,,,44,44.50,24.80,44.70,9.9,125,16,16,108,115.4,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
0e84d48b-afe7-4fe6-8148-818aae735282,,715583250642,,SK 1009,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,Black Yellow,BLKYL,,,44,44.00,23.80,44.70,12.6,125,16,16,107,114.4,Male,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,Engraved Zig-Zag temple detail.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
02c9953c-323a-4fc5-b853-ba47659c5fa8,,715583250659,,SK 1009,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,Brown/Orange Brown,BRNOR,,,44,44.00,23.80,44.70,12.6,125,16,16,107,114.4,Male,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,Engraved Zig-Zag temple detail.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
9f9e5228-dd41-420f-9bbc-c1e8d92b63b4,,715583250635,,SK 1009,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,Black Red,BLKRD,,,44,44.00,23.80,44.70,12.6,125,16,16,107,114.4,Male,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,Engraved Zig-Zag temple detail.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
f7baf85c-172e-4754-8a36-00564e17a3ec,,715583250758,,SK 1015,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,Navy Milky Blue,NVBL,,,45,44.10,22.80,44.90,12.6,125,16,16,110,114.4,Male,Child,Plastic,Handmade Acetate & Nickel Silver,,,China,Skull,Metal temples,Saddle,,,,Visible logo.,Screen printed temple detail w/laser etched Skechers gothic S logo,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
